

# Random numbers
#N       T[s]        Stdev[s]        Samples
#20000   0.689646   0.00436949        5
#40000   2.73744    0.00662571        5
#60000   6.17303    0.0112348         5
#80000   11.0598    0.0919662         5
#100000  17.3825    0.205325          5
#120000  24.7114    0.0901848         5
#140000  33.6022    0.0468657         5
#160000  44.0298    0.279737          5
#180000  55.6821    0.254274          5
#200000  68.7104    0.0934551         5
#

## Mono rising numbers
## N       T[s]        Stdev[s]        Samples
#20000   0.000222421   3.24907e-05        5
#40000   0.000449659   5.24661e-05        5
#60000   0.000712361   7.04595e-05        5
#80000   0.000779061   3.78035e-05        5
#100000   0.00093874   1.25159e-06        5
#120000   0.00141144   0.000360642        5
#140000   0.00136319   0.000100449        5
#160000   0.00151552   1.42598e-05        5
#180000   0.00172814   5.29354e-05        5
#200000   0.00197635   7.66019e-05        5


# Mono falling numbers
# N       T[s]        Stdev[s]        Samples
#20000   1.38011    0.00684499        5
#40000   5.49829    0.00227365        5
#60000   12.3895    0.0137144         5
#80000   22.0371    0.0121149         5
#100000   34.5689   0.188794          5
#120000   49.7115   0.209475          5
#140000   67.5424   0.0195906         5
#160000   88.2097   0.0429643         5
#180000   111.849   0.24095           5
#200000   143.044   2.95048           5


# Constant valued numbers
# N       T[s]        Stdev[s]        Samples
20000   0.000215557   3.81798e-05        5
40000   0.000420518   2.60739e-05        5
60000   0.000599663   7.60458e-05        5
80000   0.000791125   8.79976e-05        5
100000   0.000940575  1.78779e-06        5
120000   0.00119557   0.000145713        5
140000   0.001318     2.6823e-06         5
160000   0.00154807   5.94602e-05        5
180000   0.00172805   5.28974e-05        5
200000   0.00191721   7.46537e-05        5
