#heapsort efter visst tryck i ubåten
#http://gnuplot.sourceforge.net/docs_4.2/node82.html
#plot 'quicksort.data' using 1:2:3 with yerrorbars title 'actual runtimes', f(x) smooth csplines t 'fit NlogN'
plot 'binaryTreeArray.data' using 1:2:3 with yerrorbars title 'actual runtimes', f(x) smooth csplines t 'fitted'
# Random numbers
# N       T[s]        Stdev[s]        Samples
#20000   0.00985878   0.00115679        5
#40000   0.0192398   0.000591461        5
#60000   0.0332157   0.00488696        5
#80000   0.0399764   0.000916571        5
#100000   0.050965   0.00135242        5
#120000   0.0636005   0.00366561        5
#140000   0.0736699   0.00189281        5
#160000   0.084056   0.00159885        5
#180000   0.0973572   0.00431518        5
#200000   0.109041   0.00364635        5





# Mono rising numbers
# N       T[s]        Stdev[s]        Samples
20000   0.0211724   0.00144817        5
40000   0.0424798   0.000610048        5
60000   0.0682184   0.00307566        5
80000   0.0924745   0.00237673        5
100000   0.115475   0.000761598        5
120000   0.139631   0.00070126        5
140000   0.166258   0.000862385        5
160000   0.192397   0.00252984        5
180000   0.22057   0.00247279        5
200000   0.248489   0.0025243        5
#

## Mono falling numbers
## N       T[s]        Stdev[s]        Samples
#20000   0.024263   0.00176712        5
#40000   0.0509366   0.00252114        5
#60000   0.0766497   0.0011384        5
#80000   0.106007   0.00378846        5
#100000   0.13416   0.0024231        5
#120000   0.162716   0.00216391        5
#140000   0.19407   0.00104763        5
#160000   0.224465   0.00266884        5
#180000   0.262103   0.00539013        5
#200000   0.285103   0.00117434        5
#
#

## Constant valued numbers
## N       T[s]        Stdev[s]        Samples
#20000   0.00878965   0.000757888        5
#40000   0.0169673   0.000766688        5
#60000   0.0268069   0.00144905        5
#80000   0.0386717   0.00355012        5
#100000   0.0459001   0.00148684        5
#120000   0.0562795   0.00166521        5
#140000   0.0650479   0.00129084        5
#160000   0.0732367   0.00106178        5
#180000   0.0821301   0.000447278        5
#200000   0.0945698   0.00144629        5
