#plot 'quicksortMed3.data' using 1:2:3 with yerrorbars title 'actual runtimes', f(x) smooth csplines t 'fit NlogN'
# Random numbers
# N       T[s]        Stdev[s]        Samples
#20000   0.0118518   0.000682135        5
#40000   0.0255419   0.00423365        5
#60000   0.0372266   0.00371202        5
#80000   0.0490526   0.00212796        5
#100000   0.0644917   0.00233909        5
#120000   0.0779562   0.00592648        5
#140000   0.0900368   0.00127697        5
#160000   0.103137   0.00252981        5
#180000   0.118857   0.00391424        5
#200000   0.134504   0.00116002        5


# Mono rising numbers
# N       T[s]        Stdev[s]        Samples
#20000   0.00722992   0.000547222        5
#40000   0.014389   0.000445495        5
#60000   0.0217413   0.000405397        5
#80000   0.0296205   0.000658583        5
#100000   0.0388964   0.00130003        5
#120000   0.0462741   0.00130747        5
#140000   0.0563766   0.00301627        5
#160000   0.0628725   0.00123752        5
#180000   0.0718957   0.000905293        5
#200000   0.0810141   0.00091067        5
#

## Mono falling numbers
## N       T[s]        Stdev[s]        Samples
#20000   0.0102815   0.00338869        5
#40000   0.0145559   0.000363622        5
#60000   0.0220251   0.000701464        5
#80000   0.0310581   0.00199487        5
#100000   0.039656   0.000302435        5
#120000   0.0481107   0.00356511        5
#140000   0.0555737   0.00129676        5
#160000   0.0635983   0.0011264        5
#180000   0.073428   0.000536913        5
#200000   0.0825744   0.00103927        5
#
#

## Constant valued numbers
## N       T[s]        Stdev[s]        Samples
20000   0.000605376   7.51421e-05        5
40000   0.00116772   8.97789e-05        5
60000   0.00195025   0.000133466        5
80000   0.00266136   0.000428684        5
100000   0.00287801   0.000233507        5
120000   0.00357388   0.000399397        5
140000   0.00390087   5.03072e-05        5
160000   0.00477787   0.00033442        5
180000   0.00578038   0.000552233        5
200000   0.00601391   0.000439592        5
