#plot 'selectionsort.data' using 1:2:3 with yerrorbars title 'actual runtimes', f(x) smooth csplines t 'fit N^2'
# Random numbers
# N       T[s]        Stdev[s]        Samples
#20000   1.23261    0.0233372        5
#40000   4.92368    0.122257         5
#60000   10.9639    0.037166         5
#80000   19.6859    0.220821         5
#100000  30.5694    0.232187         5
#120000  43.9207    0.116132         5
#140000  59.7199    0.106839         5
#160000  77.9605    0.0760608        5
#180000  99.502     1.71714          5
#200000  122.598    1.45063          5


## Mono rising numbers
## N       T[s]        Stdev[s]        Samples
#20000   1.22005    0.00873358        5
#40000   4.86303    0.00544218        5
#60000   10.9529    0.0193659         5
#80000   19.4686    0.00993216        5
#100000   30.4187   0.0112818         5
#120000   43.8902   0.159115          5
#140000   59.6406   0.0107702         5
#160000   77.9322   0.0306398         5
#180000   98.7405   0.196635          5
#200000   121.817   0.0681642         5
#
#
## Mono falling numbers
## N       T[s]        Stdev[s]        Samples
#20000   1.25621    0.0325844         5
#40000   4.95929    0.00403576        5
#60000   11.1542    0.00596715        5
#80000   19.8373    0.0126914         5
#100000   31.0162   0.0405414         5
#120000   44.7665   0.150683          5
#140000   60.8855   0.108161          5
#160000   80.1645   0.512143          5
#180000   100.564   0.199029          5
#200000   124.329   0.224394          5
#
#
## Constant valued numbers
## N      T[s]      Stdev[s]       Samples
20000   1.22443    0.0115212        5
40000   5.16946    0.484976         5
60000   10.953     0.011981         5
80000   19.6415    0.385372         5
100000  31.3302    1.84391          5
120000  44.3836    0.823664         5
140000  59.7302    0.150417         5
160000  80.7177    2.49202          5
180000  103.28     3.44244          5
200000  122.686    0.968989         5


